Iteración,GD,Momentum,Nesterov,Adagrad,RMSprop,Adam
711,3.90752271410053e-137,8.288064159888007e-32,4.093274981862807e-101,1.1973824952236416,0.007499999000002151,4.352537592316928e-31
712,2.5008145370243394e-137,1.9031863755995692e-32,4.632137940213259e-102,1.1934807075441876,0.0074999990000021045,4.5730689400761415e-31
713,1.6005213036955773e-137,1.0575948116687981e-32,1.7823900004134132e-102,1.1895927118309724,0.0074999990000016465,4.69213695686465e-31
714,1.0243336343651696e-137,4.1652035791725967e-32,1.2808574491277863e-101,1.1857184517359474,0.007499999000000916,4.694528842445387e-31
715,6.555735259937086e-138,6.180799595845223e-32,2.0058699692043636e-101,1.1818578711929673,0.007499999000000081,4.5753462553531005e-31
716,4.1956705663597354e-138,5.354316140696097e-32,1.789968454603212e-101,1.178010914416051,0.0074999989999993185,4.339791659394942e-31
717,2.6852291624702303e-138,3.8032416552687394e-32,1.02794568007671e-101,1.1741775258976608,0.007499998999998777,4.002037091967197e-31
718,1.7185466639809475e-138,3.22419410295062e-32,3.33860366114907e-102,1.1703576504069881,0.007499998999998544,3.5833389320531466e-31
719,1.0998698649478066e-138,2.8835808832618575e-32,2.1985409105208132e-103,1.1665512329882552,0.007499998999998633,3.1096445388039946e-31
720,7.039167135665962e-139,1.856430652000578e-32,3.63447649244083e-103,1.162758218959029,0.007499998999998992,2.6089768272929677e-31
721,4.505066966826216e-139,9.899214566202992e-33,1.5724019992597127e-102,1.1589785539085447,0.007499998999999528,2.108881969098017e-31
722,2.8832428587687776e-139,1.509303744381279e-32,2.166628697622045e-102,1.1552121836960452,0.007499999000000111,1.6341895243331914e-31
723,1.8452754296120178e-139,2.8380056044059137e-32,1.7809237283548504e-102,1.151459054449129,0.007499999000000622,1.2052729388375127e-31
724,1.1809762749516913e-139,3.1631685574916204e-32,9.382964768926107e-103,1.1477191125621127,0.0074999990000009665,8.369226639266556e-32
725,7.558248159690823e-140,1.879968218002405e-32,2.616421547256424e-103,1.1439923046944032,0.007499999000001088,5.378653783568669e-32
726,4.837278822202127e-140,3.577311194452407e-33,6.409866504647023e-105,1.1402785777688837,0.007499999000000987,3.1089074601702987e-32
727,3.095858446209361e-140,9.666995147012419e-34,6.080824342572735e-104,1.1365778789703092,0.007499999000000708,1.534893131273884e-32
728,1.981349405573991e-140,9.503420352895397e-33,1.8702698009524013e-103,1.1328901557437148,0.007499999000000323,5.8866145495985866e-33
729,1.268063619567354e-140,1.630361388076712e-32,2.302093891487171e-103,1.1292153557928357,0.007499998999999917,1.7176278035566203e-33
730,8.115607165231066e-141,1.4332013243248865e-32,1.7465921716098723e-103,1.125553427078538,0.007499998999999579,1.6828969179123253e-33
731,5.193988585747882e-141,8.263204775376089e-33,8.397545623789612e-104,1.1219043178172594,0.007499998999999367,4.572498394463405e-33
732,3.3241526948786446e-141,5.0218850971097404e-33,1.947958602128978e-104,1.1182679764794643,0.007499998999999311,9.232014326223748e-33
733,2.1274577247223327e-141,5.073258471990835e-33,1.224986262346407e-107,1.1146443517881075,0.007499998999999402,1.464440231508852e-32
734,1.361572943822293e-141,4.9567044608985074e-33,9.057313073451936e-105,1.1110333927171088,0.007499998999999615,1.9983990370884194e-32
735,8.714066840462676e-142,3.923482128874236e-33,2.166144006460055e-104,1.10743504848984,0.0074999989999998875,2.4642646180461202e-32
736,5.577002777896111e-142,4.1535741219827715e-33,2.4083506002812266e-104,1.103849268577622,0.007499999000000163,2.823099498990345e-32
737,3.569281777853512e-142,5.955534718161576e-33,1.6878776856219103e-104,1.100276002698231,0.007499999000000387,3.055956585589046e-32
738,2.2843403378262478e-142,6.534063300307413e-33,7.351362171614594e-105,1.0967152008144188,0.007499999000000518,3.1605856699382536e-32
739,1.4619778162087987e-142,4.138213382019248e-33,1.353042013539303e-105,1.0931668131324408,0.007499999000000538,3.1473564426949333e-32
